idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens
uj0727,1113_101832.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Erika",1982-02-02,1982,2,JohnsonUwe,KlemmErika,54
uj0728,1119_101849.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1982-07-28,1982,7,KlemmErika,JohnsonUwe,41
uj0729,1109_101828.xml,letters-leipzig,Brief + Postkarte,"Bierwisch, Manfred","Johnson, Uwe",1982-01-02,1982,1,BierwischManfred,JohnsonUwe,86
uj0730,1114_101836.xml,letters-leipzig,Brief,"Klemm, Ine","Johnson, Uwe",1982-03-13,1982,3,KlemmIne,JohnsonUwe,503
uj0731,1123_101854.xml,letters-leipzig,Brief,"Menzhausen, Joachim","Johnson, Uwe",1982-09-01,1982,9,MenzhausenJoachim,JohnsonUwe,793
uj0732,1117_101844.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1982-06,1982,6,KlemmErika,JohnsonUwe,77
uj0733,0811_s000079.xml,letters-leipzig,Brief + Postkarte,"Johnson, Uwe","Baumgärtner, Klaus + Baumgärtner, Sabine",0000-00-00,0,0,JohnsonUwe,BaumgärtnerKlaus+BaumgärtnerSabine,13
uj0734,0807_101256.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",0000-00-00,0,0,BaumgärtnerKlaus,JohnsonUwe,67
uj0735,0776_101225.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1971-01-23,1971,1,BierwischManfred,JohnsonUwe,355
uj0736,0809_101259.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus + Baumgärtner, Sabine",1971-11-27,1971,11,JohnsonUwe,BaumgärtnerKlaus+BaumgärtnerSabine,149
uj0737,0775_101224.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1971-01-11,1971,1,JohnsonUwe,BaumgärtnerKlaus,137
uj0738,0790_101240.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1971-05-08,1971,5,BierwischManfred,JohnsonUwe,191
uj0739,0779_s000076.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus + Baumgärtner, Sabine",1971-01-31,1971,1,JohnsonUwe,BaumgärtnerKlaus+BaumgärtnerSabine,33
uj0740,0780_101229.xml,letters-leipzig,Brief + Umschlag,"Baumgärtner, Klaus","Johnson, Uwe",1971-02-01,1971,2,BaumgärtnerKlaus,JohnsonUwe,182
uj0741,0785_101234.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1971-03-05,1971,3,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,67
uj0742,0813_101263.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus + Baumgärtner, Sabine",1971-12-11,1971,12,JohnsonUwe,BaumgärtnerKlaus+BaumgärtnerSabine,293
uj0743,0792_101242.xml,letters-leipzig,Brief + Telegramm,"Johnson, Uwe","Baumgärtner, Klaus",1971-05-14,1971,5,JohnsonUwe,BaumgärtnerKlaus,25
uj0744,0805_101255.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1971-10-20,1971,10,JohnsonUwe,BaumgärtnerKlaus,51
uj0745,0810_101260.xml,letters-leipzig,Brief + Postkarte,"Baumgärtner, Klaus","Johnson, Uwe",0000-00-00,0,0,BaumgärtnerKlaus,JohnsonUwe,52
uj0746,0791_101241.xml,letters-leipzig,Brief + Telegramm,"Johnson, Uwe","Bierwisch, Manfred",1971-05-12,1971,5,JohnsonUwe,BierwischManfred,12
uj0747,0782_s000077.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus + Baumgärtner, Sabine",1971-02-10,1971,2,JohnsonUwe,BaumgärtnerKlaus+BaumgärtnerSabine,37
uj0748,0781_101231.xml,letters-leipzig,Brief,"Johnson, Uwe","Schultze, Heidi",1971-02-10,1971,2,JohnsonUwe,SchultzeHeidi,62
uj0749,0806_101257.xml,letters-leipzig,Brief + Postkarte,"Zeibig, Brigitte","Johnson, Uwe",1971-10-20,1971,10,ZeibigBrigitte,JohnsonUwe,61
uj0750,0802_101252.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1971-08-17,1971,8,JohnsonUwe,BierwischManfred,428
uj0751,0788_101238.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1971-03-29,1971,3,JohnsonUwe,BaumgärtnerKlaus,41
uj0752,0800_101250.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Sabine",1971-07-21,1971,7,JohnsonUwe,BaumgärtnerSabine,94
uj0753,0812_101261.xml,letters-leipzig,Brief + Telegramm,"Johnson, Uwe","Bierwisch, Manfred",1971-12-10,1971,12,JohnsonUwe,BierwischManfred,13
uj0754,0783a_101230.xml,letters-leipzig,Brief + Telegramm,"Johnson, Uwe","Baumgärtner, Klaus + Baumgärtner, Sabine",1970-07-17,1970,7,JohnsonUwe,BaumgärtnerKlaus+BaumgärtnerSabine,18
uj0755,0797_101247.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1971-07-18,1971,7,BierwischManfred,JohnsonUwe,22
uj0756,0816_101267.xml,letters-leipzig,Brief + Postkarte,"Baumgärtner, Sabine","Johnson, Uwe",1971-12-23,1971,12,BaumgärtnerSabine,JohnsonUwe,70
uj0757,0816a_000065.xml,letters-leipzig,Brief + Telegramm + Postkarte,"Johnson, Uwe","Klemm, Eberhardt",1972,1972,,JohnsonUwe,KlemmEberhardt,172
uj0758,0799_101249.xml,letters-leipzig,Brief + Telegramm,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1971-07-20,1971,7,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,17
uj0759,0774_101223.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1971-01-07,1971,1,JohnsonUwe,BierwischManfred,183
uj0760,0804_101254.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1971-10-17,1971,10,BaumgärtnerKlaus,JohnsonUwe,214
uj0761,0789_101239.xml,letters-leipzig,Brief + Telegramm,"Johnson, Uwe","Bierwisch, Manfred",1971-05-07,1971,5,JohnsonUwe,BierwischManfred,21
uj0762,0787_101236.xml,letters-leipzig,Brief + Telegramm,"Johnson, Uwe","Baumgärtner, Klaus",1971-03-14,1971,3,JohnsonUwe,BaumgärtnerKlaus,20
uj0763,0803_101253.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1971-10-13,1971,10,JohnsonUwe,BaumgärtnerKlaus,111
uj0764,0801_101251.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1971-07-21,1971,7,BierwischManfred,JohnsonUwe,24
uj0765,0808_101258.xml,letters-leipzig,Brief + Umschlag,"Baumgärtner, Klaus","Lämmerhirt, Frieda + Johnson, Uwe",1971-11-22,1971,11,BaumgärtnerKlaus,LämmerhirtFrieda+JohnsonUwe,5
uj0766,0814_101265.xml,letters-leipzig,Brief + Telegramm,"Johnson, Uwe + anonymous1","Klemm, Erika",1971-12-11,1971,12,JohnsonUwe+anonymous1,KlemmErika,21
uj0767,0777_101226.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1971-01-26,1971,1,JohnsonUwe,BierwischManfred,1428
uj0768,0793_101243.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1971-06-11,1971,6,BierwischManfred,JohnsonUwe,1504
uj0769,0794_101244.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1971-06-17,1971,6,JohnsonUwe,BierwischManfred,125
uj0770,0798_101248.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1971-07-18,1971,7,JohnsonUwe,BierwischManfred,128
uj0771,0795_101245.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1971-07-09,1971,7,BierwischManfred,JohnsonUwe,162
uj0772,0815_s000080.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus + Baumgärtner, Sabine",1971-12-21,1971,12,JohnsonUwe,BaumgärtnerKlaus+BaumgärtnerSabine,320
uj0773,0783_101232.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1971-02-11,1971,2,BierwischManfred,JohnsonUwe,1092
uj0774,0786_101235.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1971-03-13,1971,3,JohnsonUwe,BierwischManfred,191
uj0775,0784_s000078.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Sabine + Baumgärtner, Klaus",1971-03-04,1971,3,JohnsonUwe,BaumgärtnerSabine+BaumgärtnerKlaus,398
uj0776,0796_101246.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1971-07-10,1971,7,JohnsonUwe,BierwischManfred,49
uj0777,1138_101875.xml,letters-leipzig,Brief + Postkarte,"Klemm, Ine","Johnson, Uwe",1984,1984,,KlemmIne,JohnsonUwe,120
uj0778,1137_101874.xml,letters-leipzig,Brief + Postkarte,"Klemm, Ine","Johnson, Uwe",0000-00-00,0,0,KlemmIne,JohnsonUwe,120
uj0779,1139_101876.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Ine",1984-01-12,1984,1,JohnsonUwe,KlemmIne,457
uj0780,1140_101877.xml,letters-leipzig,Brief + Postkarte,"Klemm, Ine","Johnson, Uwe",1984-02-21,1984,2,KlemmIne,JohnsonUwe,81
uj0781,1136_101873.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1984-01-09,1984,1,KlemmErika,JohnsonUwe,38
uj0782,0540_100920.xml,letters-leipzig,Brief,"Klemm, Eberhardt","Johnson, Uwe",1965-04-20,1965,4,KlemmEberhardt,JohnsonUwe,205
uj0783,0575_100949.xml,letters-leipzig,Brief,"Klemm, Eberhardt","Johnson, Uwe",1965-09-07,1965,9,KlemmEberhardt,JohnsonUwe,111
uj0784,0531_100909.xml,letters-leipzig,Brief + Postkarte,"Klemm, Eberhardt","Johnson, Uwe",1965-03-07,1965,3,KlemmEberhardt,JohnsonUwe,82
uj0785,0548_100925.xml,letters-leipzig,Brief,"Johnson, Uwe","Jäckel, Ine",1965-05-21,1965,5,JohnsonUwe,JäckelIne,369
uj0786,0544_000023.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Eberhardt",1965-05-12,1965,5,JohnsonUwe,KlemmEberhardt,158
uj0787,0564_100937.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1965-07-16,1965,7,BierwischManfred,JohnsonUwe,69
uj0788,0568_100946.xml,letters-leipzig,Brief + Postkarte,"Klemm, Ine","Johnson, Uwe",1965-08-11,1965,8,KlemmIne,JohnsonUwe,33
uj0789,0552_000000.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1965-06-07,1965,6,JohnsonUwe,BierwischManfred,0
uj0790,0583_100955.xml,letters-leipzig,Brief,"Menzhausen, Joachim","Johnson, Uwe + anonymous1",1965-11-28,1965,11,MenzhausenJoachim,JohnsonUwe+anonymous1,823
uj0791,0534_100912.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1965-03-17,1965,3,BierwischManfred,JohnsonUwe,2425
uj0792,0561_100936.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1965-07-08,1965,7,BierwischManfred,JohnsonUwe,383
uj0793,0567_100945.xml,letters-leipzig,Brief,"Klemm, Eberhardt","Johnson, Uwe",1965-08-07,1965,8,KlemmEberhardt,JohnsonUwe,214
uj0794,0569_103033.xml,letters-leipzig,Brief + Postkarte,"Klemm, Eberhardt","Johnson, Uwe",1965-08-16,1965,8,KlemmEberhardt,JohnsonUwe,55
uj0795,0554_100932.xml,letters-leipzig,Brief,"Zeibig, Brigitte","Johnson, Uwe",1965-06-13,1965,6,ZeibigBrigitte,JohnsonUwe,563
uj0796,0557_100935.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1965-06-20,1965,6,BierwischManfred,JohnsonUwe,345
uj0797,0545_000000.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1965-05-13,1965,5,JohnsonUwe,BierwischManfred,0
uj0798,0560_100940.xml,letters-leipzig,Brief + Telegramm,"Bierwisch, Manfred","Johnson, Uwe",1965-07-08,1965,7,BierwischManfred,JohnsonUwe,8
uj0799,0539_100919.xml,letters-leipzig,Brief + Telegramm,"Bierwisch, Manfred","Johnson, Uwe",1965-04-11,1965,4,BierwischManfred,JohnsonUwe,12
uj0800,0559_000057.xml,letters-leipzig,Postkarte,"Johnson, Uwe","Klemm, Eberhardt",1965-06,1965,6,JohnsonUwe,KlemmEberhardt,49
uj0801,0573_103061.xml,letters-leipzig,Brief,"Klemm, Eberhardt","Johnson, Uwe",1965-08-28,1965,8,KlemmEberhardt,JohnsonUwe,59
