receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BierwischManfred+ZeibigBrigitte,0.24303582503352034,0.0007488470169829501,0.00026515769995985,0.00030290523705855,0.0002340677428432,0.5999257794604943,0.0004931239617311501,0.00612662289359165,0.00050013993106615,0.0002283328972732,0.00051090792842375,0.00025856472608055,0.0003097666180593,0.00016698722869534473,0.00150794243630425,0.14444779465279395,0.0002664685758949,0.00021649393094625878,0.00020741990280849222,0.000246852125471
DohertyMonika,0.10238754157877386,0.01664849342984774,0.01347000959024446,0.00323970184164684,0.015301209361786161,0.4367671053615588,0.11971860568751705,0.00504811204401018,0.05608444630427243,0.08340091109484035,0.010491694892420479,0.00078929619753194,0.00094559539293198,0.0005097461925435001,0.01353524827190534,0.03147950470253378,0.00081342353577668,0.0811322896655003,0.0006331712103999001,0.00760389364395726
JohnsonUwe,0.009959051985907639,0.07984459070732904,0.021506439414130954,0.01628742904217402,0.01176976934199602,0.5024185578555153,0.031176002821981307,0.016880363818529785,0.04625065231951121,0.0037969871334121406,0.047571573897231226,0.015127459733368417,0.012400975022762412,0.00899220849291409,0.09545227130626095,0.0173383890992673,0.01455131225277219,0.010271529457878814,0.017143321274889663,0.021261115022166693
JohnsonUwe+BaumgärtnerKlaus+BaumgärtnerSabine,0.0021194975638553,0.3170230749614483,0.0015579063808386,0.0017796880938189,0.0460357123697402,0.5091991369394555,0.0028972983497805,0.0015935024698774,0.0029385199450666,0.0013415460975531,0.0030017861892483,0.0461796418370065,0.0018200014214877,0.0009811160269622,0.0535202301251437,0.0025047175748386,0.0015656082955256,0.0012719874870126,0.0012186739821138,0.0014503538892256
JohnsonUwe+BaumgärtnerKlaus+SpottMargot,0.0004260483310762,0.0008844151302504,0.0003131607343403,0.0003577419267369,0.0002764423821946,0.4973604674571362,0.0005823970490009,0.0003203160406668,0.4494593158470032,0.0002696693243113,0.0185581458576835,0.000305374196209,0.0003658454632855,0.0001972178939989,0.0287130519517053,0.000503482882347,0.0003147089257392,0.0002556870813316,0.0002449703293177,0.0002915411956645
JohnsonUwe+SchmidtElisabeth,0.019688047897315968,0.10616986077378542,0.0005456270811559333,0.00386640149817535,0.00048165185977870004,0.42880779951552866,0.00101472364531795,0.0005580939343646333,0.11103805462704787,0.0004698510067402167,0.0010513185239103334,0.0005320604183947334,0.004194927841184417,0.018936121134010983,0.0051506861602762495,0.0008772296951139667,0.0049230313314100995,0.00195527208344815,0.0004268173851265,0.2893124235879129
JäckelIne,0.0006939203316877,0.0014404789216816,0.0005100562184953,0.0005826672195448,0.0004502517098482,0.7808254450538701,0.0009485711454279,0.0005217103247956,0.0009620670340581,0.0004392201854175,0.1618222684760442,0.000497374002116,0.0444611806977028,0.0003212159195009,0.0029006716263048,0.0008200407870036,0.0005125778138419,0.0004164468003845,0.0003989920386364,0.0004748436936371
KlemmEberhardt,0.08719372635989309,0.018776304456965716,0.006472830955900106,0.004670790209335016,0.009332960248772629,0.573599716998468,0.01766165239210909,0.06398703454762335,0.004141873249936078,0.02703210940321711,0.017617643857137835,0.06459876359605002,0.019959302196133635,0.0041856943367547216,0.026525397248628617,0.011141117024236915,0.013201965975046982,0.0036652894467985968,0.020314397481968578,0.005921430015022966
KlemmEberhardt+KlemmErika,0.001370023268213,0.00284397149060955,0.0010070160154202,0.030917496397971297,0.000888942564263,0.7450154486332647,0.0018727863725091,0.00103002499220425,0.00189943162356195,0.00086716276554,0.0019403263280898001,0.0009819772166725499,0.15993441989683294,0.00063418416169815,0.0057268643675816,0.0016190258561039,0.0010119944605531,0.00082220073464635,0.038679207756714046,0.00093749509754945
KlemmErika,0.0351588519648462,0.0031226503435685333,0.015890712924531963,0.002384155479612554,0.012458062341064812,0.5966100407518358,0.006200565493561405,0.0056121044301101234,0.010062000496204274,0.14354340235772714,0.0026902025605413946,0.019826204039430275,0.034235648836106386,0.007534421630536575,0.06419951991380768,0.00982583264650173,0.004413213001244967,0.011829648169328869,0.009139101336129258,0.005263661283309226
